Yr,Mo,Day,Hr,VSM
2020,1,29,6,0.16
2020,1,29,18,0.1605
2020,1,30,6,0.156875
2020,1,30,18,0.159125
2020,1,31,6,0.154875
2020,1,31,18,0.157625
2020,2,1,6,0.1535
2020,2,1,18,0.1565
2020,2,2,6,0.15275
2020,2,2,18,0.15425
2020,2,3,6,0.1505
2020,2,3,18,0.15075
2020,2,4,6,0.14725
2020,2,4,18,0.149375
2020,2,5,6,0.145875
2020,2,5,18,0.14875
2020,2,6,6,0.144625
2020,2,6,18,0.148625
2020,2,7,6,0.144125
2020,2,7,18,0.14625
2020,2,8,6,0.14175
2020,2,8,18,0.14475
2020,2,9,6,0.140125
2020,2,9,18,0.142875
2020,2,10,6,0.13925
2020,2,10,18,0.173
2020,2,11,6,0.166625
2020,2,11,18,0.166125
2020,2,12,6,0.16025
2020,2,12,18,0.168625
2020,2,13,6,0.164
2020,2,13,18,0.1645
2020,2,14,6,0.159375
2020,2,14,18,0.160125
2020,2,15,6,0.155125
2020,2,15,18,0.157125
2020,2,16,6,0.15225
2020,2,16,18,0.153375
2020,2,17,6,0.14875
2020,2,17,18,0.150625
2020,2,18,6,0.145625
2020,2,18,18,0.148
2020,2,19,6,0.14275
2020,2,19,18,0.146625
2020,2,20,6,0.141375
2020,2,20,18,0.17475
2020,2,21,6,0.168625
2020,2,21,18,0.168
2020,2,22,6,0.163625
2020,2,22,18,0.163625
2020,2,23,6,0.1585
2020,2,23,18,0.15975
2020,2,24,6,0.154375
2020,2,24,18,0.155625
2020,2,25,6,0.149875
2020,2,25,18,0.153
2020,2,26,6,0.147125
2020,2,26,18,0.150625
2020,2,27,6,0.1445
2020,2,27,18,0.148
2020,2,28,6,0.143
2020,2,28,18,0.145875
2020,2,29,6,0.140875
2020,2,29,18,0.14275
2020,3,1,6,0.138
2020,3,1,18,0.13875
2020,3,2,6,0.13375
2020,3,2,18,0.136625
2020,3,3,6,0.132125
2020,3,3,18,0.13725
2020,3,4,6,0.13225
2020,3,4,18,0.136625
2020,3,5,6,0.131375
2020,3,5,18,0.135625
2020,3,6,6,0.1305
2020,3,6,18,0.134
2020,3,7,6,0.129375
2020,3,7,18,0.13125
2020,3,8,6,0.128125
2020,3,8,18,0.131
2020,3,9,6,0.12775
2020,3,9,18,0.131125
2020,3,10,6,0.127625
2020,3,10,18,0.1365
2020,3,11,6,0.14
2020,3,11,18,0.1575
2020,3,12,6,0.151875
2020,3,12,18,0.152125
2020,3,13,6,0.145375
2020,3,13,18,0.14275
2020,3,14,6,0.137
2020,3,14,18,0.136
2020,3,15,6,0.1315
2020,3,15,18,0.131625
2020,3,16,6,0.1315
2020,3,16,18,0.254
2020,3,17,6,0.236625
2020,3,17,18,0.219125
2020,3,18,6,0.210875
2020,3,18,18,0.199375
2020,3,19,6,0.19225
2020,3,19,18,0.242875
2020,3,20,6,0.2335
2020,3,20,18,0.217375
2020,3,21,6,0.21625
2020,3,21,18,0.223625
2020,3,22,6,0.224125
2020,3,22,18,0.212375
2020,3,23,6,0.247375
2020,3,23,18,0.237625
2020,3,24,6,0.23375
2020,3,24,18,0.223625
2020,3,25,6,0.22775
2020,3,25,18,0.219375
2020,3,26,6,0.215
2020,3,26,18,0.20425
2020,3,27,6,0.1975
2020,3,27,18,0.189875
2020,3,28,6,0.184125
2020,3,28,18,0.1795
2020,3,29,6,0.17975
2020,3,29,18,0.176375
2020,3,30,6,0.170875
2020,3,30,18,0.188375
2020,3,31,6,0.18275
2020,3,31,18,0.1985
2020,4,1,6,0.20475
2020,4,1,18,0.186375
2020,4,2,6,0.1805
2020,4,2,18,0.17375
2020,4,3,6,0.16675
2020,4,3,18,0.17425
2020,4,4,6,0.169375
2020,4,4,18,0.176
2020,4,5,6,0.174
2020,4,5,18,0.171625
2020,4,6,6,0.253375
2020,4,6,18,0.257875
2020,4,7,6,0.2555
2020,4,7,18,0.2325
2020,4,8,6,0.22575
2020,4,8,18,0.223625
2020,4,9,6,0.274
2020,4,9,18,0.25375
2020,4,10,6,0.244125
2020,4,10,18,0.225375
2020,4,11,6,0.218
2020,4,11,18,0.20375
2020,4,12,6,0.197875
2020,4,12,18,0.185875
2020,4,13,6,0.17975
2020,4,13,18,0.179875
2020,4,14,6,0.173625
2020,4,14,18,0.166875
2020,4,15,6,0.160125
2020,4,15,18,0.156375
2020,4,16,6,0.150875
2020,4,16,18,0.149125
2020,4,17,6,0.1435
2020,4,17,18,0.144875
2020,4,18,6,0.14625
2020,4,18,18,0.150875
2020,4,19,6,0.1475
2020,4,19,18,0.147
2020,4,20,6,0.142
2020,4,20,18,0.1455
2020,4,21,6,0.1425
2020,4,21,18,0.156875
2020,4,22,6,0.150125
2020,4,22,18,0.150125
2020,4,23,6,0.14425
2020,4,23,18,0.154125
2020,4,24,6,0.147875
2020,4,24,18,0.146875
2020,4,25,6,0.140875
2020,4,25,18,0.152125
2020,4,26,6,0.1465
2020,4,26,18,0.144875
2020,4,27,6,0.138125
2020,4,27,18,0.146625
2020,4,28,6,0.141125
2020,4,28,18,0.148
2020,4,29,6,0.142875
2020,4,29,18,0.14825
2020,4,30,6,0.1435
