Yr,Mo,Day,Hr,VSM
2018,4,10,6,0.20307778
2018,4,10,18,0.2132689
2018,4,11,6,0.22012
2018,4,11,18,0.2140511
2018,4,12,6,0.20182
2018,4,12,18,0.20198222
2018,4,13,6,0.19128444
2018,4,13,18,0.20016888
2018,4,14,6,0.18917776
2018,4,14,18,0.19840668
2018,4,15,6,0.18811554
2018,4,15,18,0.19464666
2018,4,16,6,0.18299556
2018,4,16,18,0.19490222
2018,4,17,6,0.21220444
2018,4,17,18,0.20591778
2018,4,18,6,0.19439556
2018,4,18,18,0.20400668
2018,4,19,6,0.1935622
2018,4,19,18,0.20530666
2018,4,20,6,0.1939511
2018,4,20,18,0.20759112
2018,4,21,6,0.21290444
2018,4,21,18,0.20822446
2018,4,22,6,0.19367776
2018,4,22,18,0.20000222
2018,4,23,6,0.18724222
2018,4,23,18,0.20045554
2018,4,24,6,0.208311124
2018,4,24,18,0.20711554
2018,4,25,6,0.192784424
2018,4,25,18,0.20125332
2018,4,26,6,0.189440004
2018,4,26,18,0.200586648
2018,4,27,6,0.189095552
2018,4,27,18,0.196755546
2018,4,28,6,0.185888904
2018,4,28,18,0.195088888
2018,4,29,6,0.185182226
2018,4,29,18,0.189035552
2018,4,30,6,0.179697774
2018,4,30,18,0.1888711
2018,5,1,6,0.198257772
2018,5,1,18,0.200877778
2018,5,2,6,0.19031556
2018,5,2,18,0.19684221
2018,5,3,6,0.186884422
2018,5,3,18,0.194451116
2018,5,4,6,0.185186674
2018,5,4,18,0.18812889
2018,5,5,6,0.177762208
2018,5,5,18,0.183599998
2018,5,6,6,0.174517764
2018,5,6,18,0.176466692
2018,5,7,6,0.166748892
2018,5,7,18,0.17833109
2018,5,8,6,0.169155544
2018,5,8,18,0.175611102
2018,5,9,6,0.16774221
2018,5,9,18,0.171882226
2018,5,10,6,0.161928864
2018,5,10,18,0.167311106
2018,5,11,6,0.158217754
2018,5,11,18,0.16181776
2018,5,12,6,0.151640002
2018,5,12,18,0.158213322
2018,5,13,6,0.147319984
2018,5,13,18,0.155415552
2018,5,14,6,0.146564426
2018,5,14,18,0.152984452
2018,5,15,6,0.14436222
2018,5,15,18,0.15101333
2018,5,16,6,0.142531086
2018,5,16,18,0.155355532
2018,5,17,6,0.14793556
2018,5,17,18,0.162915526
2018,5,18,6,0.15416889
2018,5,18,18,0.158928868
2018,5,19,6,0.149806672
2018,5,19,18,0.153671086
2018,5,20,6,0.144542236
2018,5,20,18,0.149175562
2018,5,21,6,0.139219982
2018,5,21,18,0.146873336
2018,5,22,6,0.13797111
2018,5,22,18,0.1476
2018,5,23,6,0.138924442
2018,5,23,18,0.152246658
2018,5,24,6,0.142919994
2018,5,24,18,0.152066644
2018,5,25,6,0.143271116
2018,5,25,18,0.151019986
2018,5,26,6,0.143444416
2018,5,26,18,0.151473336
2018,5,27,6,0.143493328
2018,5,27,18,0.147826676
2018,5,28,6,0.13932
2018,5,28,18,0.144279992
2018,5,29,6,0.136182232
2018,5,29,18,0.143362198
2018,5,30,6,0.134935546
2018,5,30,18,0.137497772
2018,5,31,6,0.12690889
2018,5,31,18,0.13352443
2018,6,1,6,0.12531999
2018,6,1,18,0.132666662
2018,6,2,6,0.124533312
2018,6,2,18,0.133086674
2018,6,3,6,0.123304452
2018,6,3,18,0.130971096
2018,6,4,6,0.12254001
2018,6,4,18,0.128868892
2018,6,5,6,0.11839778
2018,6,5,18,0.124037778
2018,6,6,6,0.11675558
2018,6,6,18,0.12226221
2018,6,7,6,0.11523111
2018,6,7,18,0.121502202
2018,6,8,6,0.113171106
2018,6,8,18,0.121044448
2018,6,9,6,0.111773338
2018,6,9,18,0.118015544
2018,6,10,6,0.108857774
2018,6,10,18,0.116819988
2018,6,11,6,0.109184426
2018,6,11,18,0.115815544
2018,6,12,6,0.108028886
2018,6,12,18,0.117119998
2018,6,13,6,0.109413336
2018,6,13,18,0.117419992
2018,6,14,6,0.11002668
2018,6,14,18,0.116255556
2018,6,15,6,0.106046654
2018,6,15,18,0.112564432
2018,6,16,6,0.103415538
2018,6,16,18,0.11011112
2018,6,17,6,0.102586648
2018,6,17,18,0.10871112
2018,6,18,6,0.100955556
2018,6,18,18,0.109233332
2018,6,19,6,0.10167334
2018,6,19,18,0.1086711
2018,6,20,6,0.09933998
2018,6,20,18,0.106442228
2018,6,21,6,0.096460018
2018,6,21,18,0.105404458
2018,6,22,6,0.094313336
2018,6,22,18,0.10274665
2018,6,23,6,0.09229555
2018,6,23,18,0.102073336
2018,6,24,6,0.0934311
2018,6,24,18,0.100475564
2018,6,25,6,0.09192
2018,6,25,18,0.09836666
2018,6,26,6,0.089357786
2018,6,26,18,0.097511104
2018,6,27,6,0.087942214
2018,6,27,18,0.095302214
2018,6,28,6,0.086611102
2018,6,28,18,0.094377776
2018,6,29,6,0.083837776
2018,6,29,18,0.092742224
2018,6,30,6,0.084031112
2018,6,30,18,0.093068888
2018,7,1,6,0.083313336
2018,7,1,18,0.092140004
2018,7,2,6,0.08255556
2018,7,2,18,0.09183999
2018,7,3,6,0.082426662
2018,7,3,18,0.089515548
2018,7,4,6,0.080082216
2018,7,4,18,0.089071108
2018,7,5,6,0.07875111
2018,7,5,18,0.087935546
2018,7,6,6,0.080560006
2018,7,6,18,0.087000002
2018,7,7,6,0.07962445
2018,7,7,18,0.086084446
2018,7,8,6,0.07714223
2018,7,8,18,0.08543111
2018,7,9,6,0.076646668
2018,7,9,18,0.081179996
2018,7,10,6,0.075266658
2018,7,10,18,0.083166676
2018,7,11,6,0.074831106
2018,7,11,18,0.083426672
2018,7,12,6,0.075275556
2018,7,12,18,0.08225556
2018,7,13,6,0.075768888
2018,7,13,18,0.081642214
2018,7,14,6,0.074522214
2018,7,14,18,0.081733326
2018,7,15,6,0.074264438
2018,7,15,18,0.080095558
2018,7,16,6,0.072448896
2018,7,16,18,0.079086664
2018,7,17,6,0.069888874
2018,7,17,18,0.101304432
2018,7,18,6,0.089293324
2018,7,18,18,0.102775542
2018,7,19,6,0.091684432
2018,7,19,18,0.093804434
2018,7,20,6,0.085835552
2018,7,20,18,0.091075546
2018,7,21,6,0.083304452
2018,7,21,18,0.089417768
2018,7,22,6,0.080099992
2018,7,22,18,0.087231118
2018,7,23,6,0.078804436
2018,7,23,18,0.10724666
2018,7,24,6,0.089355544
2018,7,24,18,0.106993324
2018,7,25,6,0.094268872
2018,7,25,18,0.101195548
2018,7,26,6,0.091135554
2018,7,26,18,0.108160006
2018,7,27,6,0.099842228
2018,7,27,18,0.128639998
2018,7,28,6,0.120688888
2018,7,28,18,0.124986662
2018,7,29,6,0.113951112
2018,7,29,18,0.121962202
2018,7,30,6,0.10971556
2018,7,30,18,0.120164446
2018,7,31,6,0.110953328
2018,7,31,18,0.12481999
2018,8,1,6,0.11414668
2018,8,1,18,0.115222206
2018,8,2,6,0.103111122
2018,8,2,18,0.107633328
2018,8,3,6,0.096628886
2018,8,3,18,0.103648886
2018,8,4,6,0.094342224
2018,8,4,18,0.096515554
2018,8,5,6,0.086015538
2018,8,5,18,0.09327332
2018,8,6,6,0.081891094
2018,8,6,18,0.089157766
2018,8,7,6,0.079968882
2018,8,7,18,0.10280888
2018,8,8,6,0.09186445
2018,8,8,18,0.106253332
2018,8,9,6,0.097346666
2018,8,9,18,0.111637772
2018,8,10,6,0.104479992
2018,8,10,18,0.112911104
2018,8,11,6,0.102871096
2018,8,11,18,0.115097756
2018,8,12,6,0.108897774
2018,8,12,18,0.116777764
2018,8,13,6,0.10548666
2018,8,13,18,0.115986666
2018,8,14,6,0.105066654
2018,8,14,18,0.112455528
2018,8,15,6,0.101608882
2018,8,15,18,0.107891112
2018,8,16,6,0.09942
2018,8,16,18,0.09685777
2018,8,17,6,0.08843333
2018,8,17,18,0.114128886
2018,8,18,6,0.099275544
2018,8,18,18,0.10541556
2018,8,19,6,0.095393338
2018,8,19,18,0.104473336
2018,8,20,6,0.094222208
2018,8,20,18,0.112306658
2018,8,21,6,0.103191102
2018,8,21,18,0.104933324
2018,8,22,6,0.102566654
2018,8,22,18,0.107319998
2018,8,23,6,0.113748888
2018,8,23,18,0.110553322
2018,8,24,6,0.104133328
2018,8,24,18,0.112611106
2018,8,25,6,0.126533326
2018,8,25,18,0.113899992
2018,8,26,6,0.13061998
2018,8,26,18,0.11521111
2018,8,27,6,0.10501332
2018,8,27,18,0.141517766
2018,8,28,6,0.130491112
2018,8,28,18,0.116162212
2018,8,29,6,0.131897788
2018,8,29,18,0.115802228
2018,8,30,6,0.133319986
2018,8,30,18,0.115286678
2018,8,31,6,0.136946676
2018,8,31,18,0.117037778
2018,9,1,6,0.13596667
2018,9,1,18,0.112735546
2018,9,2,6,0.134748874
2018,9,2,18,0.111960008
2018,9,3,6,0.10403109
2018,9,3,18,0.097651108
2018,9,4,6,0.095344424
2018,9,4,18,0.113902222
2018,9,5,6,0.127528898
2018,9,5,18,0.111064434
2018,9,6,6,0.123904418
2018,9,6,18,0.11063333
2018,9,7,6,0.101555544
2018,9,7,18,0.095755568
2018,9,8,6,0.087944434
2018,9,8,18,0.133002218
2018,9,9,6,0.117388872
2018,9,9,18,0.12241553
2018,9,10,6,0.1278111
2018,9,10,18,0.116877772
2018,9,11,6,0.125786668
2018,9,11,18,0.115593336
2018,9,12,6,0.127540004
2018,9,12,18,0.11220666
2018,9,13,6,0.124293334
2018,9,13,18,0.11452444
2018,9,14,6,0.126664452
2018,9,14,18,0.112951118
2018,9,15,6,0.12651332
2018,9,15,18,0.112882222
2018,9,16,6,0.112220008
2018,9,16,18,0.112124454
2018,9,17,6,0.106693334
2018,9,17,18,0.11103111
2018,9,18,6,0.104900002
2018,9,18,18,0.108875544
2018,9,19,6,0.10015779
2018,9,19,18,0.106662208
2018,9,20,6,0.099860012
2018,9,20,18,0.107266662
2018,9,21,6,0.101417774
2018,9,21,18,0.10691555
2018,9,22,6,0.098775546
2018,9,22,18,0.10589999
2018,9,23,6,0.098248878
2018,9,23,18,0.104366674
2018,9,24,6,0.096193316
2018,9,24,18,0.103486672
2018,9,25,6,0.096166676
2018,9,25,18,0.109722214
2018,9,26,6,0.101564434
2018,9,26,18,0.111671124
2018,9,27,6,0.105879994
2018,9,27,18,0.114659992
2018,9,28,6,0.109268872
2018,9,28,18,0.11748889
2018,9,29,6,0.109044454
2018,9,29,18,0.119442224
2018,9,30,6,0.114697764
2018,9,30,18,0.125620006
2018,10,1,6,0.118622214
2018,10,1,18,0.129586666
2018,10,2,6,0.122448888
2018,10,2,18,0.132033332
2018,10,3,6,0.124473338
2018,10,3,18,0.190017768
2018,10,4,6,0.190724444
2018,10,4,18,0.1758311
2018,10,5,6,0.166895532
2018,10,5,18,0.16114
2018,10,6,6,0.152906682
2018,10,6,18,0.1516911
2018,10,7,6,0.142051122
2018,10,7,18,0.14617332
2018,10,8,6,0.134708884
2018,10,8,18,0.171424458
2018,10,9,6,0.154591104
2018,10,9,18,0.147437752
2018,10,10,6,0.13775555
2018,10,10,18,0.156986664
2018,10,11,6,0.153502218
2018,10,11,18,0.163888894
2018,10,12,6,0.161328906
2018,10,12,18,0.16627998
2018,10,13,6,0.15947777
2018,10,13,18,0.16613999
2018,10,14,6,0.15685998
2018,10,14,18,0.16622
2018,10,15,6,0.15585998
2018,10,15,18,0.172451094
2018,10,16,6,0.159688862
2018,10,16,18,0.15279776
2018,10,17,6,0.14359778
2018,10,17,18,0.142226662
2018,10,18,6,0.130671102
2018,10,18,18,0.134335568
2018,10,19,6,0.12569557
2018,10,19,18,0.168055554
2018,10,20,6,0.17474667
2018,10,20,18,0.186611084
2018,10,21,6,0.184066646
2018,10,21,18,0.16175554
2018,10,22,6,0.151299988
2018,10,22,18,0.146231114
2018,10,23,6,0.138268892
2018,10,23,18,0.138691096
2018,10,24,6,0.13035775
2018,10,24,18,0.133082204
2018,10,25,6,0.32400222
2018,10,25,18,0.28799332
2018,10,26,6,0.26880666
2018,10,26,18,0.26106444
2018,10,27,6,0.25220888
2018,10,27,18,0.24833332
2018,10,28,6,0.24008888
2018,10,28,18,0.23772662
2018,10,29,6,0.23125774
2018,11,13,18,0.18319552
2018,11,14,6,0.17709998
2018,11,14,18,0.18218
2018,11,15,6,0.1746422
2018,11,15,18,0.1810222
2018,11,16,6,0.17414
2018,11,16,18,0.18011776
2018,11,17,6,0.17418886
2018,11,17,18,0.17948888
2018,11,18,6,0.17255998
2018,11,18,18,0.17910886
2018,11,19,6,0.17238888
2018,11,19,18,0.17836888
2018,11,20,6,0.17154002
2018,11,20,18,0.17847332
2018,11,21,6,0.17296
2018,11,21,18,0.17883778
2018,11,22,6,0.24442886
2018,11,22,18,0.23929778
2018,11,23,6,0.23343556
2018,11,23,18,0.23216224
2018,11,24,6,0.22891554
2018,11,24,18,0.22586668
2018,11,25,6,0.21931778
2018,11,25,18,0.21853334
2018,11,26,6,0.2113089
2018,11,26,18,0.21192666
2018,11,27,6,0.2063911
2018,11,27,18,0.20637332
2018,11,28,6,0.22549778
2018,11,28,18,0.30933112
2018,11,29,6,0.31979776
2018,11,29,18,0.30343998
2018,11,30,6,0.30871334
2018,11,30,18,0.29338224
2018,12,1,6,0.28247998
2018,12,1,18,0.28586886
2018,12,2,6,0.28031998
2018,12,2,18,0.2771622
2018,12,10,6,0.25693332
2018,12,11,18,0.24942664
2018,12,12,18,0.24415776
2018,12,13,6,0.2384511
2018,12,13,18,0.23771998
2018,12,14,6,0.23305332
2018,12,14,18,0.23331332
2018,12,15,6,0.22932442
2018,12,15,18,0.2314333
2018,12,16,6,0.22622
2018,12,16,18,0.22730886
2018,12,17,6,0.2940889
2018,12,17,18,0.28853996
2018,12,18,6,0.27807332
2018,12,18,18,0.2732889
2018,12,19,6,0.26557556
2018,12,19,18,0.26461778
2018,12,20,6,0.25794668
2018,12,20,18,0.25782
2018,12,21,6,0.25440444
2018,12,21,18,0.25317778
2018,12,22,6,0.25043332
2018,12,22,18,0.24862888
2018,12,23,6,0.24539334
2018,12,23,18,0.24333554
2018,12,24,6,0.23712222
2018,12,24,18,0.23775776
2018,12,25,6,0.26654444
2018,12,25,18,0.26507776
2018,12,26,6,0.2566511
2018,12,26,18,0.2549911
2018,12,27,6,0.2469489
2018,12,27,18,0.24442888
2018,12,28,6,0.23637554
2018,12,28,18,0.23612444
2018,12,29,6,0.22861332
2018,12,29,18,0.23075998
2018,12,30,6,0.22513776
2018,12,30,18,0.22632886
2018,12,31,6,0.2245089
2018,12,31,18,0.22224666
2019,1,1,6,0.21588888
2019,1,1,18,0.21745554
2019,1,2,6,0.21049776
2019,1,2,18,0.21357112
2019,1,3,6,0.20832886
2019,1,3,18,0.2120511
2019,1,4,6,0.2074711
2019,1,4,18,0.2114822
2019,1,5,6,0.20814668
2019,1,5,18,0.23213998
2019,1,6,6,0.25000666
2019,1,6,18,0.28754222
2019,1,7,6,0.2884111
2019,1,7,18,0.2801822
2019,1,8,6,0.27240446
2019,1,8,18,0.26971776
2019,1,9,6,0.2719778
2019,1,9,18,0.28134442
2019,1,10,6,0.27874442
2019,1,10,18,0.27669774
2019,1,11,6,0.27227776
2019,1,11,18,0.27004
2019,1,12,6,0.26441332
2019,1,12,18,0.2605
2019,1,13,6,0.25300442
2019,1,13,18,0.25177554
2019,1,14,6,0.24642664
2019,1,14,18,0.25254224
2019,1,15,6,0.25691334
2019,1,15,18,0.26764442
2019,1,16,6,0.26569332
2019,1,16,18,0.26264442
2019,1,17,6,0.30478664
2019,1,17,18,0.2948111
2019,1,18,6,0.2893511
2019,1,18,18,0.28277332
