Yr,Mo,Day,Hr,VSM
2020,1,29,6,0.171625
2020,1,29,18,0.17175
2020,1,30,6,0.168375
2020,1,30,18,0.1705
2020,1,31,6,0.166875
2020,1,31,18,0.169375
2020,2,1,6,0.165
2020,2,1,18,0.16825
2020,2,2,6,0.165
2020,2,2,18,0.165125
2020,2,3,6,0.1605
2020,2,3,18,0.16075
2020,2,4,6,0.155875
2020,2,4,18,0.15925
2020,2,5,6,0.155375
2020,2,5,18,0.158375
2020,2,6,6,0.15525
2020,2,6,18,0.15825
2020,2,7,6,0.154
2020,2,7,18,0.1575
2020,2,8,6,0.152875
2020,2,8,18,0.160375
2020,2,9,6,0.156125
2020,2,9,18,0.15775
2020,2,10,6,0.15425
2020,2,10,18,0.19075
2020,2,11,6,0.18575
2020,2,11,18,0.18575
2020,2,12,6,0.180375
2020,2,12,18,0.195875
2020,2,13,6,0.1895
2020,2,13,18,0.191
2020,2,14,6,0.186
2020,2,14,18,0.188125
2020,2,15,6,0.182625
2020,2,15,18,0.185
2020,2,16,6,0.179625
2020,2,16,18,0.1805
2020,2,17,6,0.174625
2020,2,17,18,0.176375
2020,2,18,6,0.170375
2020,2,18,18,0.173125
2020,2,19,6,0.16575
2020,2,19,18,0.16975
2020,2,20,6,0.16325
2020,2,20,18,0.182
2020,2,21,6,0.177
2020,2,21,18,0.17975
2020,2,22,6,0.176625
2020,2,22,18,0.17825
2020,2,23,6,0.172875
2020,2,23,18,0.176875
2020,2,24,6,0.170125
2020,2,24,18,0.174
2020,2,25,6,0.1675
2020,2,25,18,0.172
2020,2,26,6,0.165125
2020,2,26,18,0.16925
2020,2,27,6,0.162375
2020,2,27,18,0.16625
2020,2,28,6,0.160625
2020,2,28,18,0.164125
2020,2,29,6,0.159
2020,2,29,18,0.16025
2020,3,1,6,0.154375
2020,3,1,18,0.155125
2020,3,2,6,0.14925
2020,3,2,18,0.154125
2020,3,3,6,0.148375
2020,3,3,18,0.154
2020,3,4,6,0.148125
2020,3,4,18,0.153
2020,3,5,6,0.14675
2020,3,5,18,0.151625
2020,3,6,6,0.146
2020,3,6,18,0.150375
2020,3,7,6,0.145
2020,3,7,18,0.147
2020,3,8,6,0.143375
2020,3,8,18,0.14725
2020,3,9,6,0.143
2020,3,9,18,0.146875
2020,3,10,6,0.141875
2020,3,10,18,0.17425
2020,3,11,6,0.178875
2020,3,11,18,0.18975
2020,3,12,6,0.182375
2020,3,12,18,0.17925
2020,3,13,6,0.171375
2020,3,13,18,0.170125
2020,3,14,6,0.1625
2020,3,14,18,0.160125
2020,3,15,6,0.15425
2020,3,15,18,0.153875
2020,3,16,6,0.15675
2020,3,16,18,0.2975
2020,3,17,6,0.276125
2020,3,17,18,0.254
2020,3,18,6,0.243625
2020,3,18,18,0.22525
2020,3,19,6,0.21725
2020,3,19,18,0.27425
2020,3,20,6,0.262375
2020,3,20,18,0.24025
2020,3,21,6,0.238625
2020,3,21,18,0.249375
2020,3,22,6,0.247875
2020,3,22,18,0.232625
2020,3,23,6,0.278625
2020,3,23,18,0.268875
2020,3,24,6,0.2635
2020,3,24,18,0.250875
2020,3,25,6,0.25675
2020,3,25,18,0.2465
2020,3,26,6,0.24075
2020,3,26,18,0.225875
2020,3,27,6,0.217875
2020,3,27,18,0.20725
2020,3,28,6,0.200375
2020,3,28,18,0.195125
2020,3,29,6,0.196125
2020,3,29,18,0.191875
2020,3,30,6,0.18525
2020,3,30,18,0.196375
2020,3,31,6,0.192375
2020,3,31,18,0.216125
2020,4,1,6,0.2205
2020,4,1,18,0.2065
2020,4,2,6,0.199875
2020,4,2,18,0.19325
2020,4,3,6,0.1855
2020,4,3,18,0.191875
2020,4,4,6,0.187
2020,4,4,18,0.199625
2020,4,5,6,0.19675
2020,4,5,18,0.195375
2020,4,6,6,0.29025
2020,4,6,18,0.2965
2020,4,7,6,0.288375
2020,4,7,18,0.263
2020,4,8,6,0.2555
2020,4,8,18,0.259125
2020,4,9,6,0.313125
2020,4,9,18,0.289875
2020,4,10,6,0.27675
2020,4,10,18,0.256375
2020,4,11,6,0.247625
2020,4,11,18,0.2315
2020,4,12,6,0.2235
2020,4,12,18,0.211
2020,4,13,6,0.2035
2020,4,13,18,0.199
2020,4,14,6,0.192
2020,4,14,18,0.18675
2020,4,15,6,0.1795
2020,4,15,18,0.176
2020,4,16,6,0.170375
2020,4,16,18,0.167625
2020,4,17,6,0.16225
2020,4,17,18,0.1635
2020,4,18,6,0.164625
2020,4,18,18,0.17225
2020,4,19,6,0.1675
2020,4,19,18,0.166625
2020,4,20,6,0.16075
2020,4,20,18,0.16475
2020,4,21,6,0.161625
2020,4,21,18,0.18025
2020,4,22,6,0.174
2020,4,22,18,0.172875
2020,4,23,6,0.1655
2020,4,23,18,0.1775
2020,4,24,6,0.169375
2020,4,24,18,0.167875
2020,4,25,6,0.159875
2020,4,25,18,0.175875
2020,4,26,6,0.1675
2020,4,26,18,0.16475
2020,4,27,6,0.15475
2020,4,27,18,0.1725
2020,4,28,6,0.164125
2020,4,28,18,0.17475
2020,4,29,6,0.166625
2020,4,29,18,0.174625
2020,4,30,6,0.166
2020,4,30,18,0.17425
2020,5,1,6,0.164375
2020,5,1,18,0.17375
2020,5,2,6,0.16625
2020,5,2,18,0.175625
2020,5,3,6,0.16825
2020,5,3,18,0.177375
2020,5,4,6,0.1685
2020,5,4,18,0.181625
2020,5,5,6,0.174875
2020,5,5,18,0.1695
2020,5,6,6,0.16125
2020,5,6,18,0.157
2020,5,7,6,0.149125
2020,5,7,18,0.175625
2020,5,8,6,0.16725
2020,5,8,18,0.178
2020,5,9,6,0.170875
2020,5,9,18,0.18325
2020,5,10,6,0.17325
2020,5,10,18,0.164875
2020,5,11,6,0.1775
2020,5,11,18,0.16925
2020,5,12,6,0.160625
2020,5,12,18,0.1715
2020,5,13,6,0.16325
2020,5,13,18,0.159
2020,5,14,6,0.152125
2020,5,14,18,0.148625
2020,5,15,6,0.143
2020,5,15,18,0.1415
2020,5,16,6,0.136125
2020,5,16,18,0.15525
2020,5,17,6,0.148625
2020,5,17,18,0.15875
2020,5,18,6,0.154375
2020,5,18,18,0.15925
2020,5,19,6,0.15625
2020,5,19,18,0.16425
2020,5,20,6,0.159
2020,5,20,18,0.165875
2020,5,21,6,0.159125
2020,5,21,18,0.168375
2020,5,22,6,0.16
2020,5,22,18,0.165875
2020,5,23,6,0.156
2020,5,23,18,0.1655
2020,5,24,6,0.15675
2020,5,24,18,0.164875
2020,5,25,6,0.15675
2020,5,25,18,0.16675
2020,5,26,6,0.158375
2020,5,26,18,0.164
2020,5,27,6,0.155125
2020,5,27,18,0.158875
2020,5,28,6,0.149625
2020,5,28,18,0.139875
2020,5,29,6,0.132875
2020,5,29,18,0.128625
2020,5,30,6,0.12275
2020,5,30,18,0.119875
2020,5,31,6,0.1155
2020,5,31,18,0.11525
2020,6,1,6,0.111375
2020,6,1,18,0.140375
2020,6,2,6,0.12875
2020,6,2,18,0.140875
2020,6,3,6,0.131375
2020,6,3,18,0.141375
2020,6,4,6,0.13075
2020,6,4,18,0.134875
2020,6,5,6,0.161
2020,6,5,18,0.1385
2020,6,6,6,0.1295
2020,6,6,18,0.12025
2020,6,7,6,0.1135
2020,6,7,18,0.11
2020,6,8,6,0.112
2020,6,8,18,0.122375
2020,6,9,6,0.11275
2020,6,9,18,0.107375
2020,6,10,6,0.1015
2020,6,10,18,0.102
2020,6,11,6,0.096375
2020,6,11,18,0.097875
2020,6,12,6,0.09275
2020,6,12,18,0.093625
2020,6,13,6,0.08825
2020,6,13,18,0.090875
2020,6,14,6,0.085875
2020,6,14,18,0.0895
2020,6,15,6,0.0845
2020,6,15,18,0.08775
2020,6,16,6,0.0825
2020,6,16,18,0.086375
2020,6,17,6,0.08075
2020,6,17,18,0.085
2020,6,18,6,0.078875
2020,6,18,18,0.084
2020,6,19,6,0.07775
2020,6,19,18,0.1155
2020,6,20,6,0.105
2020,6,20,18,0.112125
2020,6,21,6,0.099875
2020,6,21,18,0.112375
2020,6,22,6,0.1005
2020,6,22,18,0.119625
2020,6,23,6,0.108625
2020,6,23,18,0.1185
2020,6,24,6,0.10575
2020,6,24,18,0.120125
2020,6,25,6,0.109125
2020,6,25,18,0.1185
2020,6,26,6,0.1055
2020,6,26,18,0.11575
2020,6,27,6,0.104125
2020,6,27,18,0.114875
2020,6,28,6,0.1005
2020,6,28,18,0.114125
2020,6,29,6,0.108375
2020,6,29,18,0.11525
2020,6,30,6,0.105625
2020,6,30,18,0.112375
2020,7,1,6,0.101625
2020,7,1,18,0.10975
2020,7,2,6,0.09825
2020,7,2,18,0.105875
2020,7,3,6,0.095875
2020,7,3,18,0.10425
2020,7,4,6,0.09475
2020,7,4,18,0.101125
2020,7,5,6,0.09175
2020,7,5,18,0.098625
2020,7,6,6,0.088125
2020,7,6,18,0.096875
2020,7,7,6,0.0865
2020,7,7,18,0.0955
2020,7,8,6,0.08625
2020,7,8,18,0.098625
2020,7,9,6,0.088875
2020,7,9,18,0.09725
2020,7,10,6,0.088
2020,7,10,18,0.09475
2020,7,11,6,0.086375
2020,7,11,18,0.09375
2020,7,12,6,0.084625
2020,7,12,18,0.09225
2020,7,13,6,0.0835
2020,7,13,18,0.0905
2020,7,14,6,0.081375
2020,7,14,18,0.09175
2020,7,15,6,0.083125
2020,7,15,18,0.0915
2020,7,16,6,0.083625
2020,7,16,18,0.091375
2020,7,17,6,0.107875
2020,7,17,18,0.10325
2020,7,18,6,0.094875
2020,7,18,18,0.09825
2020,7,19,6,0.09025
2020,7,19,18,0.09375
2020,7,20,6,0.085875
2020,7,20,18,0.094
2020,7,21,6,0.086375
2020,7,21,18,0.0955
2020,7,22,6,0.088125
2020,7,22,18,0.098375
2020,7,23,6,0.0885
2020,7,23,18,0.117
2020,7,24,6,0.1035
2020,7,24,18,0.1245
2020,7,25,6,0.109625
2020,7,25,18,0.09925
2020,7,26,6,0.091625
2020,7,26,18,0.1215
2020,7,27,6,0.10775
2020,7,27,18,0.121375
2020,7,28,6,0.112375
2020,7,28,18,0.127125
2020,7,29,6,0.11625
2020,7,29,18,0.13025
2020,7,30,6,0.11875
2020,7,30,18,0.133
2020,7,31,6,0.12125
2020,7,31,18,0.135625
2020,8,1,6,0.122625
2020,8,1,18,0.115
2020,8,2,6,0.1285
2020,8,2,18,0.140125
2020,8,3,6,0.129875
2020,8,3,18,0.136
2020,8,4,6,0.12775
2020,8,4,18,0.14025
2020,8,5,6,0.137875
2020,8,5,18,0.140125
2020,8,6,6,0.1295
2020,8,6,18,0.1415
2020,8,7,6,0.13625
2020,8,7,18,0.1435
2020,8,8,6,0.1375
2020,8,8,18,0.144125
2020,8,9,6,0.137
2020,8,9,18,0.144
2020,8,10,6,0.136375
2020,8,10,18,0.143375
2020,8,11,6,0.133
2020,8,11,18,0.145125
2020,8,12,6,0.137
2020,8,12,18,0.144625
2020,8,13,6,0.13775
2020,8,13,18,0.15075
2020,8,14,6,0.144875
2020,8,14,18,0.151625
2020,8,15,6,0.143125
2020,8,15,18,0.155875
2020,8,16,6,0.1475
2020,8,16,18,0.153
2020,8,17,6,0.14425
2020,8,17,18,0.138125
2020,8,18,6,0.129375
2020,8,18,18,0.13375
2020,8,19,6,0.126375
2020,8,19,18,0.135625
2020,8,20,6,0.128375
2020,8,20,18,0.1315
2020,8,21,6,0.12475
2020,8,21,18,0.1345
2020,8,22,6,0.1315
2020,8,22,18,0.13725
2020,8,23,6,0.132375
2020,8,23,18,0.140375
2020,8,24,6,0.1335
2020,8,24,18,0.1355
2020,8,25,6,0.12775
2020,8,25,18,0.132375
2020,8,26,6,0.123375
2020,8,26,18,0.126875
2020,8,27,6,0.1165
2020,8,27,18,0.123375
2020,8,28,6,0.113875
2020,8,28,18,0.12025
2020,8,29,6,0.110625
2020,8,29,18,0.1155
2020,8,30,6,0.106
2020,8,30,18,0.11325
2020,8,31,6,0.10425
2020,8,31,18,0.10625
2020,9,1,6,0.099
2020,9,1,18,0.102
2020,9,2,6,0.09475
2020,9,2,18,0.0995
2020,9,3,6,0.092375
2020,9,3,18,0.106375
2020,9,4,6,0.097125
2020,9,4,18,0.106625
2020,9,5,6,0.097
2020,9,5,18,0.105875
2020,9,6,6,0.0965
2020,9,6,18,0.104875
2020,9,7,6,0.113
2020,9,7,18,0.101375
2020,9,8,6,0.093625
2020,9,8,18,0.10525
2020,9,9,6,0.0955
2020,9,9,18,0.113875
2020,9,10,6,0.103125
2020,9,10,18,0.120875
2020,9,11,6,0.1135
2020,9,11,18,0.123875
2020,9,12,6,0.116875
2020,9,12,18,0.12675
2020,9,13,6,0.11975
2020,9,13,18,0.129125
2020,9,14,6,0.1315
2020,9,14,18,0.12875
2020,9,15,6,0.122
2020,9,15,18,0.108625
2020,9,16,6,0.11675
2020,9,16,18,0.106625
2020,9,17,6,NaN
2020,9,17,18,NaN
2020,9,18,6,NaN
2020,9,22,18,NaN
2020,9,23,6,NaN
2020,9,23,18,0.14275
2020,9,24,6,0.13875
2020,9,24,18,0.150875
2020,9,25,6,0.143125
2020,9,25,18,0.13375
2020,9,26,6,0.127875
2020,9,26,18,0.122875
2020,9,27,6,0.118
2020,9,27,18,0.117
2020,9,28,6,0.11225
2020,9,28,18,0.112625
2020,9,29,6,0.10725
2020,9,29,18,0.1095
2020,9,30,6,0.10325
2020,9,30,18,0.363625
2020,10,1,6,NaN
2020,10,1,18,NaN
2020,10,2,6,NaN
2020,10,2,18,NaN
2020,10,3,6,NaN
2020,10,3,18,NaN
2020,10,4,6,NaN
2020,10,4,18,NaN
2020,10,5,6,NaN
2020,10,5,18,NaN
2020,10,6,6,NaN
2020,10,6,18,NaN
2020,10,7,6,NaN
2020,10,7,18,NaN
2020,10,8,6,NaN
2020,10,8,18,NaN
2020,10,9,6,NaN
2020,10,9,18,NaN
2020,10,10,6,NaN
2020,10,10,18,NaN
2020,10,11,6,NaN
2020,10,11,18,NaN
2020,10,12,6,NaN
2020,10,12,18,NaN
2020,10,13,6,NaN
2020,10,13,18,NaN
2020,10,14,6,NaN
2020,10,14,18,NaN
2020,10,15,6,NaN
2020,10,15,18,NaN
2020,10,16,6,NaN
2020,10,16,18,NaN
2020,10,17,6,NaN
2020,10,17,18,NaN
2020,10,18,6,NaN
2020,10,18,18,NaN
2020,10,19,6,NaN
2020,10,19,18,NaN
2020,10,20,6,NaN
2020,10,20,18,NaN
2020,10,21,6,NaN
2020,10,21,18,NaN
2020,10,22,6,NaN
2020,10,22,18,NaN
2020,10,23,6,NaN
2020,10,23,18,NaN
2020,10,24,6,NaN
2020,10,24,18,NaN
2020,10,25,6,NaN
2020,10,25,18,NaN
2020,10,26,6,NaN
2020,10,26,18,NaN
2020,10,27,6,NaN
2020,10,27,18,NaN
2020,10,28,6,NaN
2020,10,28,18,NaN
2020,10,29,6,NaN
2020,10,29,18,NaN
2020,10,30,6,NaN
2020,10,30,18,NaN
2020,10,31,6,NaN
2020,10,31,18,NaN
2020,11,1,6,NaN
2020,11,1,18,NaN
2020,11,2,6,NaN
2020,11,2,18,NaN
2020,11,3,6,NaN
2020,11,3,18,NaN
2020,11,4,6,NaN
2020,11,4,18,NaN
2020,11,5,6,NaN
2020,11,5,18,NaN
2020,11,6,6,NaN
2020,11,6,18,NaN
2020,11,7,6,NaN
2020,11,7,18,NaN
2020,11,20,18,NaN
2020,11,25,18,NaN
2020,11,26,6,NaN
2020,11,26,18,NaN
2020,11,27,6,NaN
2020,11,27,18,NaN
2020,11,28,6,NaN
2020,11,28,18,NaN
2020,11,29,6,NaN
2020,11,29,18,NaN
2020,11,30,6,NaN
2020,11,30,18,NaN
2020,12,1,6,NaN
2020,12,1,18,NaN
2020,12,2,6,NaN
2020,12,2,18,NaN
2020,12,3,6,NaN
2020,12,3,18,NaN
2020,12,4,18,NaN
2020,12,5,6,NaN
2020,12,5,18,NaN
2020,12,6,6,NaN
2020,12,6,18,NaN
2020,12,7,6,NaN
2020,12,7,18,NaN
2020,12,8,6,NaN
