Yr,Mo,Day,Hr,VSM
2013,4,5,18,0.24285
2013,4,6,6,0.2364
2013,4,6,18,0.237
2013,4,7,6,0.22835
2013,4,7,18,0.22695
2013,4,8,6,0.2211
2013,4,8,18,0.22205
2013,4,9,6,0.21265
2013,4,9,18,0.21235
2013,4,10,6,0.20425
2013,4,10,18,0.207
2013,4,11,6,0.1962
2013,4,11,18,0.19715
2013,4,12,6,0.18655
2013,4,12,18,0.18995
2013,4,13,6,0.17965
2013,4,13,18,0.1828
2013,4,14,6,0.1724
2013,4,14,18,0.1765
2013,4,15,6,0.16745
2013,4,15,18,0.1691
2013,4,16,6,0.1612
2013,4,16,18,0.1667
2013,4,17,6,0.1574
2013,4,17,18,0.1647
2013,4,18,6,0.15585
2013,4,18,18,0.2024
2013,4,19,6,0.1766
2013,4,19,18,0.20275
2013,4,20,6,0.1913
2013,4,20,18,0.18345
2013,4,21,6,0.17445
2013,4,21,18,0.1769
2013,4,22,6,0.16725
2013,4,22,18,0.17275
2013,4,23,6,0.1622
2013,4,23,18,0.1684
2013,4,24,6,0.1579
2013,4,24,18,0.1643
2013,4,25,6,0.15575
2013,4,25,18,0.16185
2013,4,26,6,0.1514
2013,4,26,18,0.1589
2013,4,27,6,0.1498
2013,4,27,18,0.15865
2013,4,28,6,0.1487
2013,4,28,18,0.15635
2013,4,29,6,0.1477
2013,4,29,18,0.1545
2013,4,30,6,0.14495
2013,4,30,18,0.15015
2013,5,1,6,0.1422
2013,5,1,18,0.16925
2013,5,2,6,0.1587
2013,5,2,18,0.16
2013,5,3,6,0.16445
2013,5,3,18,0.16395
2013,5,4,6,0.1663
2013,5,4,18,0.16105
2013,5,5,6,0.15165
2013,5,5,18,0.15375
2013,5,6,6,0.1461
2013,5,6,18,0.14615
2013,5,7,6,0.1437
2013,5,7,18,0.16605
2013,5,8,6,0.15545
2013,5,8,18,0.1554
2013,5,9,6,0.14925
2013,5,9,18,0.17345
2013,5,10,6,0.1592
2013,5,10,18,0.1592
2013,5,11,6,0.15295
2013,5,11,18,0.15655
2013,5,12,6,0.14755
2013,5,12,18,0.1502
2013,5,13,6,0.14175
2013,5,13,18,0.16095
2013,5,14,6,0.1698
2013,5,14,18,0.16205
2013,5,15,6,0.15405
2013,5,15,18,0.15305
2013,5,16,6,0.1471
2013,5,16,18,0.1479
2013,5,17,6,0.14155
2013,5,17,18,0.1431
2013,5,18,6,0.1368
2013,5,18,18,0.14055
2013,5,19,6,0.13455
2013,5,19,18,0.13745
2013,5,20,6,0.1296
2013,5,20,18,0.13545
2013,5,21,6,0.1282
2013,5,21,18,0.1306
2013,5,22,6,0.12535
2013,5,22,18,0.1286
2013,5,23,6,0.1213
2013,5,23,18,0.1276
2013,5,24,6,0.12165
2013,5,24,18,0.12615
2013,5,25,6,0.12005
2013,5,25,18,0.1249
2013,5,26,6,0.1201
2013,5,26,18,0.12455
2013,5,27,6,0.11865
2013,5,27,18,0.1209
2013,5,28,6,0.1184
2013,5,28,18,0.1226
2013,5,29,6,0.11835
2013,5,29,18,0.1225
2013,5,30,6,0.1185
2013,5,30,18,0.12375
2013,5,31,6,0.11675
2013,5,31,18,0.1233
2013,6,1,6,0.12655
2013,6,1,18,0.12835
2013,6,2,6,0.1207
2013,6,2,18,0.12475
2013,6,3,6,0.1173
2013,6,3,18,0.1615
2013,6,4,6,0.15455
2013,6,4,18,0.1448
2013,6,5,6,0.13695
2013,6,5,18,0.16025
2013,6,6,6,0.18925
2013,6,6,18,0.1897
2013,6,7,6,0.17785
2013,6,7,18,0.1699
2013,6,8,6,0.1838
2013,6,8,18,0.1903
2013,6,9,6,0.17655
2013,6,9,18,0.16745
2013,6,10,6,0.1616
2013,6,10,18,0.18485
2013,6,11,6,0.18215
2013,6,11,18,0.18015
2013,6,12,6,0.185
2013,6,12,18,0.2131
2013,6,13,6,0.2025
2013,6,13,18,0.1877
2013,6,14,6,0.1926
2013,6,14,18,0.20595
2013,6,15,6,0.1958
2013,6,15,18,0.17855
2013,6,16,6,0.1708
2013,6,16,18,0.1594
2013,6,17,6,0.1544
2013,6,17,18,0.19835
2013,6,18,6,0.19935
2013,6,18,18,0.1945
2013,6,19,6,0.18535
2013,6,19,18,0.2043
2013,6,20,6,0.19045
2013,6,20,18,0.2155
2013,6,21,6,0.2075
2013,6,21,18,0.19765
2013,6,22,6,0.2099
2013,6,22,18,0.1948
2013,6,23,6,0.18735
2013,6,23,18,0.17555
2013,6,24,6,0.1847
2013,6,24,18,0.2132
2013,6,25,6,0.21625
2013,6,25,18,0.21175
2013,6,26,6,0.2052
2013,6,26,18,0.2274
2013,6,27,6,0.2132
2013,6,27,18,0.2271
2013,6,28,6,0.2341
2013,6,28,18,0.22375
2013,6,29,6,0.2275
2013,6,29,18,0.22055
2013,6,30,6,0.2114
2013,6,30,18,0.1877
2013,7,1,6,0.21065
2013,7,1,18,0.21965
2013,7,2,6,0.2158
2013,7,2,18,0.21345
2013,7,3,6,0.21495
2013,7,3,18,0.2122
2013,7,4,6,0.22155
2013,7,4,18,0.2043
2013,7,5,6,0.21355
2013,7,5,18,0.2274
2013,7,6,6,0.20995
2013,7,6,18,0.2305
2013,7,7,6,0.20965
2013,7,7,18,0.187
2013,7,8,6,0.18115
2013,7,8,18,0.2055
2013,7,9,6,0.2164
2013,7,9,18,0.21255
2013,7,10,6,0.22105
2013,7,10,18,0.2139
2013,7,11,6,0.21215
2013,7,11,18,0.215
2013,7,12,6,0.21645
2013,7,12,18,0.21485
2013,7,13,6,0.2159
2013,7,13,18,0.2104
2013,7,14,6,0.2043
2013,7,14,18,0.18235
2013,7,15,6,0.20155
2013,7,15,18,0.20265
2013,7,16,6,0.20885
2013,7,16,18,0.2164
2013,7,17,6,0.21765
2013,7,17,18,0.2133
2013,7,18,6,0.216
2013,7,18,18,0.21695
2013,7,19,6,0.2177
2013,7,19,18,0.21845
2013,7,20,6,0.22715
2013,7,20,18,0.2185
2013,7,21,6,0.20905
2013,7,21,18,0.18395
2013,7,22,6,0.19755
2013,7,22,18,0.2183
2013,7,23,6,0.20995
2013,7,23,18,0.21825
2013,7,24,6,0.2131
2013,7,24,18,0.20835
2013,7,25,6,0.2154
2013,7,25,18,0.211
2013,7,26,6,0.21495
2013,7,26,18,0.2034
2013,7,27,6,0.2107
2013,7,27,18,0.1991
2013,7,28,6,0.1881
2013,7,28,18,0.1693
2013,7,29,6,0.15935
2013,7,29,18,0.198
2013,7,30,6,0.19675
2013,7,30,18,0.2096
2013,7,31,6,0.1984
2013,7,31,18,0.195
2013,8,1,6,0.1793
2013,8,1,18,0.20535
2013,8,2,6,0.2024
2013,8,2,18,0.1968
2013,8,3,6,0.20205
2013,8,3,18,0.20625
2013,8,4,6,0.1875
2013,8,4,18,0.1722
2013,8,5,6,0.1815
2013,8,5,18,0.2083
2013,8,6,6,0.22075
2013,8,6,18,0.20965
2013,8,7,6,0.1937
2013,8,7,18,0.1863
2013,8,8,6,0.2345
2013,8,8,18,0.22455
2013,8,9,6,0.2437
2013,8,9,18,0.2053
2013,8,10,6,0.2437
2013,8,10,18,0.2038
2013,8,11,6,0.1875
2013,8,11,18,0.1768
2013,8,12,6,0.17625
2013,8,12,18,0.20005
2013,8,13,6,0.182
2013,8,13,18,0.2126
2013,8,14,6,0.2101
2013,8,14,18,0.1904
2013,8,15,6,0.19695
2013,8,15,18,0.18865
2013,8,16,6,0.2219
2013,8,16,18,0.1873
2013,8,17,6,0.2071
2013,8,17,18,0.1872
2013,8,18,6,0.17415
2013,8,18,18,0.166
2013,8,19,6,0.15955
2013,8,19,18,0.1782
2013,8,20,6,0.1721
2013,8,20,18,0.17435
2013,8,21,6,0.17435
2013,8,21,18,0.1739
2013,8,22,6,0.1678
2013,8,22,18,0.1725
2013,8,23,6,0.15555
2013,8,23,18,0.1765
2013,8,24,6,0.1606
2013,8,24,18,0.17335
2013,8,25,6,0.1574
2013,8,25,18,0.1503
2013,8,26,6,0.13725
2013,8,26,18,0.1758
2013,8,27,6,0.17355
2013,8,27,18,0.16615
2013,8,28,6,0.1492
2013,8,28,18,0.1876
2013,8,29,6,0.1755
2013,8,29,18,0.16505
2013,8,30,6,0.15
2013,8,30,18,0.1752
2013,8,31,6,0.16125
2013,8,31,18,0.1633
2013,9,1,6,0.14935
2013,9,1,18,0.1408
2013,9,2,6,0.1311
2013,9,2,18,0.1289
2013,9,3,6,0.12305
2013,9,3,18,0.13015
2013,9,4,6,0.11915
2013,9,4,18,0.12555
2013,9,5,6,0.1137
2013,9,5,18,0.12055
2013,9,6,6,0.10695
2013,9,6,18,0.1681
2013,9,7,6,0.2429
2013,9,7,18,0.19215
2013,9,8,6,0.17445
2013,9,8,18,0.2381
2013,9,9,6,0.2383
2013,9,9,18,0.2183
2013,9,10,6,0.20065
2013,9,10,18,0.2344
2013,9,11,6,0.2019
2013,9,11,18,0.232
2013,9,12,6,0.19825
2013,9,12,18,0.2384
2013,9,13,6,0.2498
2013,9,13,18,0.20705
2013,9,14,6,0.2078
2013,9,14,18,0.22205
2013,9,15,6,0.1921
2013,9,15,18,0.19195
2013,9,16,6,0.1794
2013,9,16,18,0.22025
2013,9,17,6,0.2044
2013,9,17,18,0.2118
2013,9,18,6,0.1948
2013,9,18,18,0.2163
2013,9,19,6,0.19685
2013,9,19,18,0.2254
2013,9,20,6,0.19995
2013,9,20,18,0.21885
2013,9,21,6,0.2033
2013,9,21,18,0.23915
2013,9,22,6,0.2266
2013,9,22,18,0.22055
2013,9,23,6,0.2329
2013,9,23,18,0.2243
2013,9,24,6,0.21485
2013,9,24,18,0.23505
2013,9,25,6,0.21495
2013,9,25,18,0.234
2013,9,26,6,0.21285
2013,9,26,18,0.21795
2013,9,27,6,0.2181
2013,9,27,18,0.21695
2013,9,28,6,0.2092
2013,9,28,18,0.20525
2013,9,29,6,0.20055
2013,9,29,18,0.197
2013,9,30,6,0.19105
2013,9,30,18,0.21475
2013,10,1,6,0.20005
2013,10,1,18,0.19565
2013,10,2,6,0.1915
2013,10,2,18,0.18555
2013,10,3,6,0.178
2013,10,3,18,0.17795
2013,10,4,6,0.1676
2013,10,4,18,0.165
2013,10,5,6,0.1573
2013,10,5,18,0.1555
2013,10,6,6,0.14845
2013,10,6,18,0.15015
2013,10,7,6,0.1442
2013,10,7,18,0.14515
2013,10,8,6,0.13785
2013,10,8,18,0.14065
2013,10,9,6,0.13555
2013,10,9,18,0.1384
2013,10,10,6,0.1338
2013,10,10,18,0.13635
2013,10,11,6,0.1302
2013,10,11,18,0.13435
2013,10,12,6,0.12865
2013,10,12,18,0.1322
2013,10,13,6,0.12655
2013,10,13,18,0.1309
2013,10,14,6,0.1227
2013,10,14,18,0.1282
2013,10,15,6,0.1213
2013,10,15,18,0.1261
2013,10,16,6,0.1195
2013,10,16,18,0.12625
2013,10,17,6,0.117
2013,10,17,18,0.1235
2013,10,18,6,0.11535
2013,10,18,18,0.1222
2013,10,19,6,0.1146
2013,10,19,18,0.13165
2013,10,20,6,0.1216
2013,10,20,18,0.1259
2013,10,21,6,0.1168
2013,10,21,18,0.12285
2013,10,22,6,0.1142
2013,10,22,18,0.11945
2013,10,23,6,0.11185
2013,10,23,18,0.1185
2013,10,24,6,0.1108
2013,10,24,18,0.11565
2013,10,25,6,0.1082
2013,10,25,18,0.11475
2013,10,26,6,0.10745
2013,10,26,18,0.1258
2013,10,27,6,0.115
2013,10,27,18,0.1182
2013,10,28,6,0.114
2013,10,28,18,0.11675
2013,10,29,6,0.1122
2013,10,29,18,0.115
2013,10,30,6,0.1071
2013,10,30,18,0.11165
2013,10,31,6,0.10555
2013,10,31,18,0.11155
2013,11,1,6,0.104
2013,11,1,18,0.11005
2013,11,2,6,0.10265
2013,11,2,18,0.10995
2013,11,3,6,0.10355
2013,11,3,18,0.1075
2013,11,4,6,0.10045
2013,11,4,18,0.106
2013,11,5,6,0.09905
2013,11,5,18,0.1055
2013,11,6,6,0.09885
2013,11,6,18,0.1049
2013,11,7,6,0.09915
2013,11,7,18,0.1056
2013,11,8,6,0.09825
2013,11,8,18,0.10515
2013,11,9,6,0.0985
2013,11,9,18,0.10465
2013,11,10,6,0.09845
2013,11,10,18,0.10415
2013,11,11,6,0.09705
2013,11,11,18,0.10355
2013,11,12,6,0.0996
2013,11,12,18,0.10415
2013,11,13,6,0.0974
2013,11,13,18,0.10365
2013,11,14,6,0.0981
2013,11,14,18,0.10165
2013,11,15,6,0.09575
2013,11,15,18,0.10105
2013,11,16,6,0.09525
2013,11,16,18,0.1003
2013,11,17,6,0.0959
2013,11,17,18,0.0996
2013,11,18,6,0.09435
2013,11,18,18,0.0993
2013,11,19,6,0.09765
2013,11,19,18,0.10145
2013,11,20,6,0.2747
2013,11,20,18,0.28595
2013,11,21,6,0.2568
2013,11,21,18,0.2439
2013,11,22,6,0.23205
2013,11,22,18,0.2253
2013,11,23,6,0.21855
2013,11,23,18,0.21785
2013,11,24,6,0.21075
2013,11,24,18,0.21185
2013,11,25,6,0.20535
2013,11,25,18,0.20625
2013,11,26,6,0.20035
2013,11,26,18,0.20215
2013,11,27,6,0.1979
2013,11,27,18,0.19905
2013,11,28,6,0.1945
2013,11,28,18,0.1954
2013,11,29,6,0.18885
2013,11,29,18,0.1905
2013,11,30,6,0.1853
2013,11,30,18,0.18735
2013,12,1,6,0.1811
2013,12,1,18,0.1827
2013,12,2,6,0.17825
2013,12,2,18,0.18
2013,12,3,6,0.1775
2013,12,3,18,0.175
2013,12,4,6,0.16965
2013,12,4,18,0.17
2013,12,5,6,0.16365
2013,12,5,18,0.1661
2013,12,6,6,0.16105
2013,12,6,18,0.16455
2013,12,7,6,0.26635
2013,12,7,18,0.24795
2013,12,8,6,0.23315
2013,12,8,18,0.23355
2013,12,9,6,0.2237
2013,12,9,18,0.22425
2013,12,10,6,0.21835
2013,12,10,18,0.2206
2013,12,11,6,0.21695
2013,12,11,18,0.21745
2013,12,12,6,0.2126
2013,12,12,18,0.214
2013,12,13,6,0.20845
2013,12,13,18,0.21045
2013,12,14,6,0.20475
2013,12,14,18,0.2066
2013,12,15,6,0.2022
2013,12,15,18,0.2039
2013,12,16,6,0.19985
2013,12,16,18,0.2011
2013,12,17,6,0.1976
2013,12,17,18,0.1993
2013,12,18,6,0.1959
2013,12,18,18,0.1976
2013,12,19,6,0.19385
2013,12,19,18,0.1937
2013,12,20,6,0.1887
2013,12,20,18,0.18885
2013,12,21,6,0.18555
2013,12,21,18,0.18665
2013,12,22,6,0.1823
2013,12,22,18,0.1843
2013,12,23,6,0.1797
2013,12,23,18,0.1805
2013,12,24,6,0.1772
2013,12,24,18,0.1783
2013,12,25,6,0.1754
2013,12,25,18,0.1769
2013,12,26,6,0.1731
2013,12,26,18,0.17475
2013,12,27,6,0.16945
2013,12,27,18,0.1723
2013,12,28,6,0.16705
2013,12,28,18,0.17
2013,12,29,6,0.16565
2013,12,29,18,0.16775
2013,12,30,6,0.16395
2013,12,30,18,0.1652
2013,12,31,6,0.1633
2013,12,31,18,0.16415
2014,1,1,6,0.16
2014,1,1,18,0.16185
2014,1,2,6,0.1578
2014,1,2,18,0.16015
2014,1,3,6,0.15665
2014,1,3,18,0.19565
2014,1,4,6,0.19255
2014,1,4,18,0.1921
2014,1,5,6,0.1866
2014,1,5,18,0.187
2014,1,6,6,0.1825
2014,1,6,18,0.1975
2014,1,7,6,0.1986
2014,1,7,18,0.1995
2014,1,8,6,0.19925
