Yr,Mo,Day,Hr,VSM
2016,3,1,18,0.2203
2016,3,2,6,0.20875
2016,3,2,18,0.22715
2016,3,3,6,0.2167
2016,3,3,18,0.2218
2016,3,4,6,0.215
2016,3,4,18,0.29445
2016,3,5,6,0.3288
2016,3,5,18,0.3866
2016,3,6,6,0.36965
2016,3,6,18,0.36485
2016,3,7,6,0.4089
2016,3,7,18,0.3529
2016,3,8,6,0.34155
2016,3,8,18,0.341
2016,3,9,6,0.33365
2016,3,9,18,0.3383
2016,3,10,6,0.33225
2016,3,10,18,0.3302
2016,3,11,6,0.327
2016,3,11,18,0.3806
2016,3,12,6,0.36335
2016,3,12,18,0.3621
2016,3,13,6,0.37925
2016,3,13,18,0.40655
2016,3,14,6,0.37865
2016,3,14,18,0.3602
2016,3,15,6,0.34775
2016,3,15,18,0.34755
2016,3,16,6,0.3355
2016,3,16,18,0.3388
2016,3,17,6,0.32685
2016,3,17,18,0.32895
2016,3,18,6,0.31525
2016,3,18,18,0.31615
2016,3,19,6,0.3018
2016,3,19,18,0.30515
2016,3,20,6,0.293
2016,3,20,18,0.29365
2016,3,21,6,0.2888
2016,3,21,18,0.2895
2016,3,22,6,0.2969
2016,3,22,18,0.3028
2016,3,23,6,0.28945
2016,3,23,18,0.2979
2016,3,24,6,0.2842
2016,3,24,18,0.2878
2016,3,25,6,0.27465
2016,3,25,18,0.27975
2016,3,26,6,0.2657
2016,3,26,18,0.27115
2016,3,27,6,0.25955
2016,3,27,18,0.26305
2016,3,28,6,0.2484
2016,3,28,18,0.24965
2016,3,29,6,0.2382
2016,3,29,18,0.2453
2016,3,30,6,0.2292
2016,3,30,18,0.24005
2016,3,31,6,0.2255
2016,3,31,18,0.2363
2016,4,1,6,0.22175
2016,4,1,18,0.2316
2016,4,2,6,0.2169
2016,4,2,18,0.22665
2016,4,3,6,0.2129
2016,4,3,18,0.22115
2016,4,4,6,0.20735
2016,4,4,18,0.21725
2016,4,5,6,0.2022
2016,4,5,18,0.2128
2016,4,6,6,0.19875
2016,4,6,18,0.20955
2016,4,7,6,0.19665
2016,4,7,18,0.2019
2016,4,8,6,0.1921
2016,4,8,18,0.199
2016,4,9,6,0.2108
2016,4,9,18,0.27945
2016,4,10,6,0.35
2016,4,10,18,0.3212
2016,4,11,6,0.31295
2016,4,11,18,0.3081
2016,4,12,6,0.29585
2016,4,12,18,0.3086
2016,4,13,6,0.29175
2016,4,13,18,0.28875
2016,4,14,6,0.294
2016,4,14,18,0.28925
2016,4,15,6,0.27565
2016,4,15,18,0.27385
2016,4,16,6,0.25975
2016,4,16,18,0.27645
2016,4,17,6,0.2633
2016,4,17,18,0.2619
2016,4,18,6,0.24965
2016,4,18,18,0.2539
2016,4,19,6,0.2392
2016,4,19,18,0.245
2016,4,20,6,0.22995
2016,4,20,18,0.2332
2016,4,21,6,0.22215
2016,4,21,18,0.22645
2016,4,22,6,0.21815
2016,4,22,18,0.27475
2016,4,23,6,0.2658
2016,4,23,18,0.2605
2016,4,24,6,0.2483
2016,4,24,18,0.24625
2016,4,25,6,0.2341
2016,4,25,18,0.246
2016,4,26,6,0.233
2016,4,26,18,0.23345
2016,4,27,6,0.23845
2016,4,27,18,0.2427
2016,4,28,6,0.2354
2016,4,28,18,0.24045
2016,4,29,6,0.24785
2016,4,29,18,0.24115
2016,4,30,6,0.2304
2016,4,30,18,0.2319
2016,5,1,6,0.22015
2016,5,1,18,0.2251
2016,5,2,6,0.2139
2016,5,2,18,0.21865
2016,5,3,6,0.2084
2016,5,3,18,0.21315
2016,5,4,6,0.20475
2016,5,4,18,0.24
2016,5,5,6,0.23545
2016,5,5,18,0.23135
2016,5,6,6,0.22795
2016,5,6,18,0.23195
2016,5,7,6,0.2285
2016,5,7,18,0.22975
2016,5,8,6,0.22505
2016,5,8,18,0.22855
2016,5,9,6,0.22035
2016,5,9,18,0.2255
2016,5,10,6,0.215
2016,5,10,18,0.2195
2016,5,11,6,0.2087
2016,5,11,18,0.2121
2016,5,12,6,0.19895
2016,5,12,18,0.2048
2016,5,13,6,0.19295
2016,5,13,18,0.1956
2016,5,14,6,0.1855
2016,5,14,18,0.18915
2016,5,15,6,0.18045
2016,5,15,18,0.1863
2016,5,16,6,0.1764
2016,5,16,18,0.18195
2016,5,17,6,0.17265
2016,5,17,18,0.1799
2016,5,18,6,0.16945
2016,5,18,18,0.18095
2016,5,19,6,0.204
2016,5,19,18,0.1936
2016,5,20,6,0.20205
2016,5,20,18,0.1929
2016,5,21,6,0.19715
2016,5,21,18,0.1928
2016,5,22,6,0.1874
2016,5,22,18,0.19045
2016,5,23,6,0.1839
2016,5,23,18,0.18605
2016,5,24,6,0.17795
2016,5,24,18,0.1881
2016,5,25,6,0.17835
2016,5,25,18,0.1813
2016,5,26,6,0.17285
2016,5,26,18,0.1763
2016,5,27,6,0.168
2016,5,27,18,0.17195
2016,5,28,6,0.16415
2016,5,28,18,0.16875
2016,5,29,6,0.1594
2016,5,29,18,0.16845
2016,5,30,6,0.1568
2016,5,30,18,0.16425
2016,5,31,6,0.1979
2016,5,31,18,0.18695
2016,6,1,6,0.20065
2016,6,1,18,0.18655
2016,6,2,6,0.1755
2016,6,2,18,0.19435
2016,6,3,6,0.18025
2016,6,3,18,0.1926
2016,6,4,6,0.18235
2016,6,4,18,0.19855
2016,6,5,6,0.1862
2016,6,5,18,0.1863
2016,6,6,6,0.1785
2016,6,6,18,0.20515
2016,6,7,6,0.20145
2016,6,7,18,0.18975
2016,6,8,6,0.1805
2016,6,8,18,0.19255
2016,6,9,6,0.18155
2016,6,9,18,0.1805
2016,6,10,6,0.1715
2016,6,10,18,0.1948
2016,6,11,6,0.1801
2016,6,11,18,0.2067
2016,6,12,6,0.18985
2016,6,12,18,0.1806
2016,6,13,6,0.1967
2016,6,13,18,0.1843
2016,6,14,6,0.174
2016,6,14,18,0.1972
2016,6,15,6,0.1768
2016,6,15,18,0.17215
2016,6,16,6,0.1932
2016,6,16,18,0.18445
2016,6,17,6,0.17495
2016,6,17,18,0.1989
2016,6,18,6,0.18045
2016,6,18,18,0.19075
2016,6,19,6,0.17645
2016,6,19,18,0.20285
2016,6,20,6,0.17995
2016,6,20,18,0.20255
2016,6,21,6,0.17705
2016,6,21,18,0.2052
2016,6,22,6,0.1808
2016,6,22,18,0.20245
2016,6,23,6,0.1947
2016,6,23,18,0.2086
2016,6,24,6,0.2043
2016,6,24,18,0.19095
2016,6,25,6,0.17895
2016,6,25,18,0.20985
2016,6,26,6,0.192
2016,6,26,18,0.1861
2016,6,27,6,0.1736
2016,6,27,18,0.204
2016,6,28,6,0.2092
2016,6,28,18,0.2128
2016,6,29,6,0.19055
2016,6,29,18,0.21115
2016,6,30,6,0.1911
2016,6,30,18,0.20655
2016,7,1,6,0.2022
2016,7,1,18,0.21525
2016,7,2,6,0.1924
2016,7,2,18,0.2058
2016,7,3,6,0.1939
2016,7,3,18,0.1831
2016,7,4,6,0.17225
2016,7,4,18,0.1982
2016,7,5,6,0.1972
2016,7,5,18,0.2137
2016,7,6,6,0.1944
2016,7,6,18,0.214
2016,7,7,6,0.2012
2016,7,7,18,0.2133
2016,7,8,6,0.19265
2016,7,8,18,0.2135
2016,7,9,6,0.20195
2016,7,9,18,0.19285
2016,7,10,6,0.18215
2016,7,10,18,0.1732
2016,7,11,6,0.16135
2016,7,11,18,0.2093
2016,7,12,6,0.19555
2016,7,12,18,0.20955
2016,7,13,6,0.2078
2016,7,13,18,0.19285
2016,7,14,6,0.1812
2016,7,14,18,0.20405
2016,7,15,6,0.20385
2016,7,15,18,0.1932
2016,7,16,6,0.18055
2016,7,16,18,0.2019
2016,7,17,6,0.18715
2016,7,17,18,0.17175
2016,7,18,6,0.15835
2016,7,18,18,0.18815
2016,7,19,6,0.17525
2016,7,19,18,0.2073
2016,7,20,6,0.18795
2016,7,20,18,0.19395
2016,7,21,6,0.17805
2016,7,21,18,0.2096
2016,7,22,6,0.18885
2016,7,22,18,0.208
2016,7,23,6,0.1955
2016,7,23,18,0.21095
2016,7,24,6,0.19285
2016,7,24,18,0.17235
2016,7,25,6,0.16165
2016,7,25,18,0.20935
2016,7,26,6,0.18735
2016,7,26,18,0.2115
2016,7,27,6,0.1915
2016,7,27,18,0.2173
2016,7,28,6,0.19035
2016,7,28,18,0.2103
2016,7,29,6,0.1982
2016,7,29,18,0.2162
2016,7,30,6,0.19155
2016,7,30,18,0.20885
2016,7,31,6,0.1887
2016,7,31,18,0.1659
2016,8,1,6,0.15465
2016,8,1,18,0.2105
2016,8,2,6,0.18775
2016,8,2,18,0.20225
2016,8,3,6,0.1854
2016,8,3,18,0.2121
2016,8,4,6,0.1902
2016,8,4,18,0.21485
2016,8,5,6,0.1928
2016,8,5,18,0.2161
2016,8,6,6,0.1904
2016,8,6,18,0.19
2016,8,7,6,0.1762
2016,8,7,18,0.1554
2016,8,8,6,0.19545
2016,8,8,18,0.1782
2016,8,9,6,0.1635
2016,8,9,18,0.18405
2016,8,10,6,0.16995
2016,8,10,18,0.19415
2016,8,11,6,0.17795
2016,8,11,18,0.19105
2016,8,12,6,0.1776
2016,8,12,18,0.18755
2016,8,13,6,0.1734
2016,8,13,18,0.21665
2016,8,14,6,0.20225
2016,8,14,18,0.1624
2016,8,15,6,0.14865
2016,8,15,18,0.2061
2016,8,16,6,0.1861
2016,8,16,18,0.19105
2016,8,17,6,0.169
2016,8,17,18,0.19445
2016,8,18,6,0.17725
2016,8,18,18,0.2025
2016,8,19,6,0.17655
2016,8,19,18,0.1945
2016,8,20,6,0.17155
2016,8,20,18,0.14385
2016,8,21,6,0.13495
2016,8,21,18,0.13375
2016,8,22,6,0.1263
2016,8,22,18,0.13065
2016,8,23,6,0.12155
2016,8,23,18,0.12975
2016,8,24,6,0.1189
2016,8,24,18,0.17655
2016,8,25,6,0.1967
2016,8,25,18,0.20765
2016,8,26,6,0.20865
2016,8,26,18,0.198
2016,8,27,6,0.197
2016,8,27,18,0.20465
2016,8,28,6,0.18775
2016,8,28,18,0.1803
2016,8,29,6,0.16955
2016,8,29,18,0.2123
2016,8,30,6,0.18815
2016,8,30,18,0.21555
2016,8,31,6,0.18885
2016,8,31,18,0.21745
2016,9,1,6,0.20975
2016,9,1,18,0.1845
2016,9,2,6,0.17465
2016,9,2,18,0.2025
2016,9,3,6,0.18745
2016,9,3,18,0.20015
2016,9,4,6,0.18485
2016,9,4,18,0.17435
2016,9,5,6,0.1621
2016,9,5,18,0.213
2016,9,6,6,0.18705
2016,9,6,18,0.19035
2016,9,7,6,0.17915
2016,9,7,18,0.19895
2016,9,8,6,0.2074
2016,9,8,18,0.1776
2016,9,9,6,0.1666
2016,9,9,18,0.18585
2016,9,10,6,0.20895
2016,9,10,18,0.1765
2016,9,11,6,0.1631
2016,9,11,18,0.1508
2016,9,12,6,0.1405
2016,9,12,18,0.1984
2016,9,13,6,0.18275
2016,9,13,18,0.2138
2016,9,14,6,0.211
2016,9,14,18,0.1797
2016,9,15,6,0.16895
2016,9,15,18,0.1945
2016,9,16,6,0.2104
2016,9,16,18,0.17695
2016,9,17,6,0.1657
2016,9,17,18,0.14995
2016,9,18,6,0.13955
2016,9,18,18,0.14025
2016,9,19,6,0.13015
2016,9,19,18,0.1967
2016,9,20,6,0.20095
2016,9,20,18,0.16905
2016,9,21,6,0.15615
2016,9,21,18,0.19425
2016,9,22,6,0.201
2016,9,22,18,0.1702
2016,9,23,6,0.1584
2016,9,23,18,0.14215
2016,9,24,6,0.1343
2016,9,24,18,0.1343
2016,9,25,6,0.12515
2016,9,25,18,0.13125
2016,9,26,6,0.1227
2016,9,26,18,0.1602
2016,9,27,6,0.14735
2016,9,27,18,0.2099
2016,9,28,6,0.1877
2016,9,28,18,0.14805
2016,9,29,6,0.1359
2016,9,29,18,0.186
2016,9,30,6,0.1695
2016,9,30,18,0.14245
2016,10,1,6,0.1313
2016,10,1,18,0.1285
2016,10,2,6,0.1189
2016,10,2,18,0.12355
2016,10,3,6,0.13925
2016,10,3,18,0.19405
2016,10,4,6,0.18205
2016,10,4,18,0.1676
2016,10,5,6,0.1864
2016,10,5,18,0.20035
2016,10,6,6,0.18305
2016,10,6,18,0.16635
2016,10,7,6,0.15685
2016,10,7,18,0.14435
2016,10,8,6,0.13685
2016,10,8,18,0.13185
2016,10,9,6,0.1232
2016,10,9,18,0.12775
2016,10,10,6,0.11955
2016,10,10,18,0.12485
2016,10,11,6,0.1161
2016,10,11,18,0.1213
2016,10,12,6,0.11265
2016,10,12,18,0.12015
2016,10,13,6,0.1128
2016,10,13,18,0.11845
2016,10,14,6,0.11375
2016,10,14,18,0.25745
2016,10,15,6,0.28005
2016,10,15,18,0.2638
2016,10,16,6,0.3326
2016,10,16,18,0.35855
2016,10,17,6,0.33305
2016,10,17,18,0.3204
2016,10,18,6,0.3094
2016,10,18,18,0.30475
