Yr,Mo,Day,Hr,VSM
2013,4,5,18,0.305583333
2013,4,6,6,0.299916667
2013,4,6,18,0.31455
2013,4,7,6,0.305
2013,4,7,18,0.3025
2013,4,8,6,0.39225
2013,4,8,18,0.3452
2013,4,9,6,0.32995
2013,4,9,18,0.32275
2013,4,10,6,0.31055
2013,4,10,18,0.3095
2013,4,11,6,0.29655
2013,4,11,18,0.2928
2013,4,12,6,0.28045
2013,4,12,18,0.28515
2013,4,13,6,0.2717
2013,4,13,18,0.2763
2013,4,14,6,0.26135
2013,4,14,18,0.26385
2013,4,15,6,0.2504
2013,4,15,18,0.2503
2013,4,16,6,0.24085
2013,4,16,18,0.24395
2013,4,17,6,0.2332
2013,4,17,18,0.2617
2013,4,18,6,0.2452
2013,4,18,18,0.25025
2013,4,19,6,0.23595
2013,4,19,18,0.24305
2013,4,20,6,0.2286
2013,4,20,18,0.34805
2013,4,21,6,0.4166
2013,4,21,18,0.33185
2013,4,22,6,0.317
2013,4,22,18,0.3023
2013,4,23,6,0.28975
2013,4,23,18,0.27895
2013,4,24,6,0.26745
2013,4,24,18,0.2613
2013,4,25,6,0.25065
2013,4,25,18,0.25015
2013,4,26,6,0.23945
2013,4,26,18,0.24275
2013,4,27,6,0.232
2013,4,27,18,0.23785
2013,4,28,6,0.22545
2013,4,28,18,0.23165
2013,4,29,6,0.2213
2013,4,29,18,0.22735
2013,4,30,6,0.21575
2013,4,30,18,0.22085
2013,5,1,6,0.3049
2013,5,1,18,0.2546
2013,5,2,6,0.2422
2013,5,2,18,0.241
2013,5,3,6,0.22905
2013,5,3,18,0.23555
2013,5,4,6,0.2218
2013,5,4,18,0.22875
2013,5,5,6,0.21555
2013,5,5,18,0.22195
2013,5,6,6,0.2124
2013,5,6,18,0.21495
2013,5,7,6,0.20855
2013,5,7,18,0.2122
2013,5,8,6,0.2063
2013,5,8,18,0.26175
2013,5,9,6,0.231
2013,5,9,18,0.26775
2013,5,10,6,0.24345
2013,5,10,18,0.241
2013,5,11,6,0.247
2013,5,11,18,0.23945
2013,5,12,6,0.226
2013,5,12,18,0.23075
2013,5,13,6,0.2168
2013,5,13,18,0.2275
2013,5,14,6,0.214
2013,5,14,18,0.2186
2013,5,15,6,0.2056
2013,5,15,18,0.2094
2013,5,16,6,0.1996
2013,5,16,18,0.20405
2013,5,17,6,0.19525
2013,5,17,18,0.20175
2013,5,18,6,0.1896
2013,5,18,18,0.19875
2013,5,19,6,0.1868
2013,5,19,18,0.1951
2013,5,20,6,0.18265
2013,5,20,18,0.1923
2013,5,21,6,0.18035
2013,5,21,18,0.1865
2013,5,22,6,0.1747
2013,5,22,18,0.18045
2013,5,23,6,0.1706
2013,5,23,18,0.17915
2013,5,24,6,0.1928
2013,5,24,18,0.1917
2013,5,25,6,0.17595
2013,5,25,18,0.1816
2013,5,26,6,0.16915
2013,5,26,18,0.1745
2013,5,27,6,0.16435
2013,5,27,18,0.16775
2013,5,28,6,0.1639
2013,5,28,18,0.17035
2013,5,29,6,0.1625
2013,5,29,18,0.1708
2013,5,30,6,0.1593
2013,5,30,18,0.1683
2013,5,31,6,0.1557
2013,5,31,18,0.2038
2013,6,1,6,0.18235
2013,6,1,18,0.2477
2013,6,2,6,0.2169
2013,6,2,18,0.21075
2013,6,3,6,0.196
2013,6,3,18,0.1952
2013,6,4,6,0.1829
2013,6,4,18,0.2228
2013,6,5,6,0.20585
2013,6,5,18,0.2467
2013,6,6,6,0.21435
2013,6,6,18,0.22845
2013,6,7,6,0.25835
2013,6,7,18,0.2798
2013,6,8,6,0.2803
2013,6,8,18,0.265
2013,6,9,6,0.2495
2013,6,9,18,0.244
2013,6,10,6,0.2302
2013,6,10,18,0.23035
2013,6,11,6,0.21785
2013,6,11,18,0.28115
2013,6,12,6,0.3105
2013,6,12,18,0.27495
2013,6,13,6,0.25895
2013,6,13,18,0.28555
2013,6,14,6,0.26755
2013,6,14,18,0.3199
2013,6,15,6,0.3215
2013,6,15,18,0.28075
2013,6,16,6,0.26605
2013,6,16,18,0.261
2013,6,17,6,0.24605
2013,6,17,18,0.2746
2013,6,18,6,0.2594
2013,6,18,18,0.31935
2013,6,19,6,0.31605
2013,6,19,18,0.2882
2013,6,20,6,0.2751
2013,6,20,18,0.30915
2013,6,21,6,0.33115
2013,6,21,18,0.30785
2013,6,22,6,0.3456
2013,6,22,18,0.3061
2013,6,23,6,0.29125
2013,6,23,18,0.28485
2013,6,24,6,0.2762
2013,6,24,18,0.32545
2013,6,25,6,0.33285
2013,6,25,18,0.3295
2013,6,26,6,0.33895
2013,6,26,18,0.3212
2013,6,27,6,0.33305
2013,6,27,18,0.315
2013,6,28,6,0.3316
2013,6,28,18,0.31095
2013,6,29,6,0.3637
2013,6,29,18,0.3101
2013,6,30,6,0.297
2013,6,30,18,0.2797
2013,7,1,6,0.2685
2013,7,1,18,0.2874
2013,7,2,6,0.2716
2013,7,2,18,0.3008
2013,7,3,6,0.2727
2013,7,3,18,0.28205
2013,7,4,6,0.27145
2013,7,4,18,0.2971
2013,7,5,6,0.2641
2013,7,5,18,0.29865
2013,7,6,6,0.2723
2013,7,6,18,0.3157
2013,7,7,6,0.27815
2013,7,7,18,0.26795
2013,7,8,6,0.30425
2013,7,8,18,0.27775
2013,7,9,6,0.26575
2013,7,9,18,0.28545
2013,7,10,6,0.3261
2013,7,10,18,0.2781
2013,7,11,6,0.2664
2013,7,11,18,0.3084
2013,7,12,6,0.3278
2013,7,12,18,0.28675
2013,7,13,6,0.27335
2013,7,13,18,0.30235
2013,7,14,6,0.2804
2013,7,14,18,0.26605
2013,7,15,6,0.29845
2013,7,15,18,0.28
2013,7,16,6,0.26545
2013,7,16,18,0.3046
2013,7,17,6,0.33205
2013,7,17,18,0.3067
2013,7,18,6,0.28905
2013,7,18,18,0.2939
2013,7,19,6,0.3987
2013,7,19,18,0.30785
2013,7,20,6,0.2937
2013,7,20,18,0.3283
2013,7,21,6,0.30465
2013,7,21,18,0.28165
2013,7,22,6,0.2682
2013,7,22,18,0.3093
2013,7,23,6,0.306
2013,7,23,18,0.32035
2013,7,24,6,0.3219
2013,7,24,18,0.30475
2013,7,25,6,0.3331
2013,7,25,18,0.29355
2013,7,26,6,0.27895
2013,7,26,18,0.31165
2013,7,27,6,0.2772
2013,7,27,18,0.27805
2013,7,28,6,0.26395
2013,7,28,18,0.25515
2013,7,29,6,0.26505
2013,7,29,18,0.25985
2013,7,30,6,0.2454
2013,7,30,18,0.2896
2013,7,31,6,0.2746
2013,7,31,18,0.2714
2013,8,1,6,0.25675
2013,8,1,18,0.30505
2013,8,2,6,0.30535
2013,8,2,18,0.28715
2013,8,3,6,0.27115
2013,8,3,18,0.27955
2013,8,4,6,0.26425
2013,8,4,18,0.2518
2013,8,5,6,0.26325
2013,8,5,18,0.2542
2013,8,6,6,0.2373
2013,8,6,18,0.28055
2013,8,7,6,0.2502
2013,8,7,18,0.28455
2013,8,8,6,0.2838
2013,8,8,18,0.26615
2013,8,9,6,0.2517
2013,8,9,18,0.29225
2013,8,10,6,0.2966
2013,8,10,18,0.26365
2013,8,11,6,0.2491
2013,8,11,18,0.24005
2013,8,12,6,0.25375
2013,8,12,18,0.2607
2013,8,13,6,0.2436
2013,8,13,18,0.28115
2013,8,14,6,0.2685
2013,8,14,18,0.2507
2013,8,15,6,0.23575
2013,8,15,18,0.2559
2013,8,16,6,0.26585
2013,8,16,18,0.2516
2013,8,17,6,0.2364
2013,8,17,18,0.27735
2013,8,18,6,0.24865
2013,8,18,18,0.2403
2013,8,19,6,0.2566
2013,8,19,18,0.24085
2013,8,20,6,0.2534
2013,8,20,18,0.23785
2013,8,21,6,0.2233
2013,8,21,18,0.26625
2013,8,22,6,0.2579
2013,8,22,18,0.23655
2013,8,23,6,0.2229
2013,8,23,18,0.26655
2013,8,24,6,0.2563
2013,8,24,18,0.23375
2013,8,25,6,0.22365
2013,8,25,18,0.219
2013,8,26,6,0.2043
2013,8,26,18,0.2442
2013,8,27,6,0.25815
2013,8,27,18,0.232
2013,8,28,6,0.24805
2013,8,28,18,0.2378
2013,8,29,6,0.2269
2013,8,29,18,0.2473
2013,8,30,6,0.23295
2013,8,30,18,0.2742
2013,8,31,6,0.236
2013,8,31,18,0.22395
2013,9,1,6,0.21025
2013,9,1,18,0.2061
2013,9,2,6,0.19365
2013,9,2,18,0.2634
2013,9,3,6,0.3217
2013,9,3,18,0.318
2013,9,4,6,0.3569
2013,9,4,18,0.3393
2013,9,5,6,0.33695
2013,9,5,18,0.3413
2013,9,6,6,0.35335
2013,9,6,18,0.35145
2013,9,7,6,0.31905
2013,9,7,18,0.30635
2013,9,8,6,0.2951
2013,9,8,18,0.3864
2013,9,9,6,0.39405
2013,9,9,18,0.3646
2013,9,10,6,0.3904
2013,9,10,18,0.4015
2013,9,11,6,0.3448
2013,9,11,18,0.32945
2013,9,12,6,0.31755
2013,9,12,18,0.3721
2013,9,13,6,0.33695
2013,9,13,18,0.3197
2013,9,14,6,0.30685
2013,9,14,18,0.3668
2013,9,15,6,0.32125
2013,9,15,18,0.3089
2013,9,16,6,0.2965
2013,9,16,18,0.3479
2013,9,17,6,0.3656
2013,9,17,18,0.3277
2013,9,18,6,0.31195
2013,9,18,18,0.32995
2013,9,19,6,0.3134
2013,9,19,18,0.3581
2013,9,20,6,0.3265
2013,9,20,18,0.3562
2013,9,21,6,0.3305
2013,9,21,18,0.3697
2013,9,22,6,0.34075
2013,9,22,18,0.3261
2013,9,23,6,0.315
2013,9,23,18,0.3637
2013,9,24,6,0.3395
2013,9,24,18,0.3434
2013,9,25,6,0.32615
2013,9,25,18,0.3482
2013,9,26,6,0.3282
2013,9,26,18,0.31205
2013,9,27,6,0.30595
2013,9,27,18,0.32895
2013,9,28,6,0.3294
2013,9,28,18,0.3368
2013,9,29,6,0.32605
2013,9,29,18,0.311
2013,9,30,6,0.31505
2013,9,30,18,0.33435
2013,10,1,6,0.32135
2013,10,1,18,0.30695
2013,10,2,6,0.29595
2013,10,2,18,0.28405
2013,10,3,6,0.2737
2013,10,3,18,0.2617
2013,10,4,6,0.2494
2013,10,4,18,0.24285
2013,10,5,6,0.23315
2013,10,5,18,0.23325
2013,10,6,6,0.2223
2013,10,6,18,0.22445
2013,10,7,6,0.21495
2013,10,7,18,0.23785
2013,10,8,6,0.22155
2013,10,8,18,0.2191
2013,10,9,6,0.2096
2013,10,9,18,0.2164
2013,10,10,6,0.20685
2013,10,10,18,0.2127
2013,10,11,6,0.20345
2013,10,11,18,0.20735
2013,10,12,6,0.19665
2013,10,12,18,0.20425
2013,10,13,6,0.1942
2013,10,13,18,0.1989
2013,10,14,6,0.18905
2013,10,14,18,0.1961
2013,10,15,6,0.1857
2013,10,15,18,0.19345
2013,10,16,6,0.18355
2013,10,16,18,0.1915
2013,10,17,6,0.18035
2013,10,17,18,0.1876
2013,10,18,6,0.17785
2013,10,18,18,0.1853
2013,10,19,6,0.1757
2013,10,19,18,0.18355
2013,10,20,6,0.17325
2013,10,20,18,0.18115
2013,10,21,6,0.1724
2013,10,21,18,0.17985
2013,10,22,6,0.1699
2013,10,22,18,0.1779
2013,10,23,6,0.16815
2013,10,23,18,0.17665
2013,10,24,6,0.16665
2013,10,24,18,0.17335
2013,10,25,6,0.1657
2013,10,25,18,0.17235
2013,10,26,6,0.16375
2013,10,26,18,0.1722
2013,10,27,6,0.16185
2013,10,27,18,0.16915
2013,10,28,6,0.16355
2013,10,28,18,0.1677
2013,10,29,6,0.16335
2013,10,29,18,0.16795
2013,10,30,6,0.15855
2013,10,30,18,0.1646
2013,10,31,6,0.157
2013,10,31,18,0.1649
2013,11,1,6,0.15675
2013,11,1,18,0.16395
2013,11,2,6,0.1569
2013,11,2,18,0.16405
2013,11,3,6,0.15605
2013,11,3,18,0.1604
2013,11,4,6,0.1534
2013,11,4,18,0.15975
2013,11,5,6,0.1521
2013,11,5,18,0.15795
2013,11,6,6,0.15175
2013,11,6,18,0.15905
2013,11,7,6,0.15245
2013,11,7,18,0.1595
2013,11,8,6,0.1517
2013,11,8,18,0.1583
2013,11,9,6,0.1508
2013,11,9,18,0.15835
2013,11,10,6,0.1508
2013,11,10,18,0.15685
2013,11,11,6,0.1503
2013,11,11,18,0.1557
2013,11,12,6,0.1525
2013,11,12,18,0.1571
2013,11,13,6,0.14965
2013,11,13,18,0.1565
2013,11,14,6,0.15015
2013,11,14,18,0.15375
2013,11,15,6,0.1483
2013,11,15,18,0.1535
2013,11,16,6,0.1482
2013,11,16,18,0.1515
2013,11,17,6,0.14695
2013,11,17,18,0.1516
2013,11,18,6,0.1467
2013,11,18,18,0.15245
2013,11,19,6,0.14935
2013,11,19,18,0.1528
2013,11,20,6,0.3493
2013,11,20,18,0.3613
2013,11,21,6,0.3333
2013,11,21,18,0.3193
2013,11,22,6,0.31005
2013,11,22,18,0.30175
2013,11,23,6,0.2962
2013,11,23,18,0.2932
2013,11,24,6,0.2861
2013,11,24,18,0.28485
2013,11,25,6,0.2771
2013,11,25,18,0.277
2013,11,26,6,0.2701
2013,11,26,18,0.27145
2013,11,27,6,0.2658
2013,11,27,18,0.266
2013,11,28,6,0.2608
2013,11,28,18,0.26015
2013,11,29,6,0.254
2013,11,29,18,0.25415
2013,11,30,6,0.24845
2013,11,30,18,0.24825
2013,12,1,6,0.2416
2013,12,1,18,0.2431
2013,12,2,6,0.23575
2013,12,2,18,0.2373
2013,12,3,6,0.23455
2013,12,3,18,0.2318
2013,12,4,6,0.2237
2013,12,4,18,0.2241
2013,12,5,6,0.2178
2013,12,5,18,0.21945
