Yr,Mo,Day,Hr,VSM
2016,3,1,18,0.18965
2016,3,2,6,0.18115
2016,3,2,18,0.19025
2016,3,3,6,0.18175
2016,3,3,18,0.18585
2016,3,4,6,0.1811
2016,3,4,18,0.274
2016,3,5,6,0.32005
2016,3,5,18,0.3659
2016,3,6,6,0.3986
2016,3,6,18,0.36965
2016,3,7,6,0.40855
2016,3,7,18,0.38515
2016,3,8,6,0.3737
2016,3,8,18,0.3589
2016,3,9,6,0.35305
2016,3,9,18,0.338
2016,3,10,6,0.3339
2016,3,10,18,0.33085
2016,3,11,6,0.33035
2016,3,11,18,0.3938
2016,3,12,6,0.37705
2016,3,12,18,0.37075
2016,3,13,6,0.3782
2016,3,13,18,0.3973
2016,3,14,6,0.39025
2016,3,14,18,0.37015
2016,3,15,6,0.3606
2016,3,15,18,0.3428
2016,3,16,6,0.338
2016,3,16,18,0.32815
2016,3,17,6,0.3238
2016,3,17,18,0.31575
2016,3,18,6,0.30775
2016,3,18,18,0.30115
2016,3,19,6,0.294
2016,3,19,18,0.29205
2016,3,20,6,0.28375
2016,3,20,18,0.2853
2016,3,21,6,0.2825
2016,3,21,18,0.2846
2016,3,22,6,0.2833
2016,3,22,18,0.28175
2016,3,23,6,0.27325
2016,3,23,18,0.27085
2016,3,24,6,0.263
2016,3,24,18,0.26085
2016,3,25,6,0.2504
2016,3,25,18,0.2496
2016,3,26,6,0.24055
2016,3,26,18,0.23985
2016,3,27,6,0.2328
2016,3,27,18,0.2322
2016,3,28,6,0.22335
2016,3,28,18,0.22185
2016,3,29,6,0.2156
2016,3,29,18,0.21825
2016,3,30,6,0.20995
2016,3,30,18,0.21295
2016,3,31,6,0.2053
2016,3,31,18,0.2097
2016,4,1,6,0.20015
2016,4,1,18,0.2046
2016,4,2,6,0.19635
2016,4,2,18,0.20125
2016,4,3,6,0.193
2016,4,3,18,0.19685
2016,4,4,6,0.1879
2016,4,4,18,0.19325
2016,4,5,6,0.18435
2016,4,5,18,0.1889
2016,4,6,6,0.17925
2016,4,6,18,0.1839
2016,4,7,6,0.1755
2016,4,7,18,0.1797
2016,4,8,6,0.17325
2016,4,8,18,0.17675
2016,4,9,6,0.17365
2016,4,9,18,0.2547
2016,4,10,6,0.3381
2016,4,10,18,0.3196
2016,4,11,6,0.3117
2016,4,11,18,0.29445
2016,4,12,6,0.28435
2016,4,12,18,0.2723
2016,4,13,6,0.2624
2016,4,13,18,0.28035
2016,4,14,6,0.28835
2016,4,14,18,0.26865
2016,4,15,6,0.25975
2016,4,15,18,0.2413
2016,4,16,6,0.2311
2016,4,16,18,0.22525
